time,angular_velocity
0.0,3.236790061330015
0.0020000000000000018,3.2304788385296246
0.003999999999999997,3.2195776355287498
0.005999999999999998,3.2092501800752573
0.008,3.1926115018876944
0.009999999999999995,3.1880215217073844
0.011999999999999997,3.1765465712743266
0.013999999999999999,3.1490066903384144
0.016,3.123188052093832
0.018000000000000002,3.089910696324208
0.020000000000000004,3.06581330090081
0.022,3.0428634006023776
0.023999999999999994,3.0038485703302378
0.025999999999999995,2.9665549828476836
0.027999999999999997,2.9321301331053102
0.03,2.8890990712543734
0.032,2.841478029897635
0.034,2.800168211252268
0.036000000000000004,2.746809696002817
0.038000000000000006,2.6894349490551344
0.04000000000000001,2.6291914654684585
0.041999999999999996,2.5746854571371345
0.044,2.513294480050058
0.046,2.4490347665340866
0.04799999999999999,2.3847750538589896
0.05,2.317646604913344
0.05199999999999999,2.250518156894441
0.054000000000000006,2.1856846994355315
0.055999999999999994,2.1191300006513134
0.057999999999999996,2.0474115762723057
0.06,1.9670869422493336
0.062,1.895942267537364
0.064,1.8202076149918291
0.066,1.7358667533700551
0.06799999999999999,1.6492309039060244
0.06999999999999999,1.57407000270359
0.072,1.4914503875300014
0.074,1.4071095319112776
0.076,1.3135887210458626
0.078,1.2143304392370753
0.08,1.1288420942345814
0.082,1.0410587618079028
0.08399999999999999,0.9492592003433163
0.086,0.8568858935482628
0.088,0.7713975554535921
0.09,0.6750080218957032
0.092,0.5803397320970742
0.094,0.4896876747268205
0.096,0.4001831136386869
0.098,0.3014985997514797
0.1,0.19019165080860065
0.10200000000000001,0.0915071418444432
0.10400000000000001,0.00946130186767941
0.10600000000000001,-0.0869282143517786
0.10800000000000001,-0.18848145221490475
0.11000000000000001,-0.2820022283583832
0.11199999999999999,-0.3703592786917486
0.11400000000000002,-0.4587163270963594
0.11599999999999999,-0.5470733735615915
0.118,-0.6411678884322116
0.12,-0.7346886540569644
0.122,-0.832225646525889
0.124,-0.9223039256586036
0.126,-1.0072184798851966
0.128,-1.0950017671047416
0.12999999999999998,-1.1845062932013979
0.132,-1.2722895763916298
0.134,-1.360072857571036
0.136,-1.4381024391450967
0.13799999999999998,-1.5121157907732945
0.13999999999999999,-1.5964565850471504
0.14200000000000002,-1.6779286430256983
0.14400000000000002,-1.7519419899337894
0.146,-1.8248078416554845
0.148,-1.8993949324872368
0.15,-1.973408274978345
0.15200000000000005,-2.0422578945639938
0.154,-2.1185662214269807
0.156,-2.1897108254863507
0.158,-2.2505279859173744
0.16,-2.3079026646334952
0.162,-2.373883544030013
0.164,-2.432979461071235
0.166,-2.4863379096021205
0.168,-2.538548863845549
0.16999999999999998,-2.595349791220065
0.17200000000000001,-2.658461931682663
0.174,-2.7129678702683524
0.176,-2.75944135408242
0.178,-2.7875549427588573
0.18,-2.8328809321924715
0.18200000000000005,-2.8741906942043247
0.184,-2.8977143084655665
0.186,-2.9212379225685603
0.188,-2.953941483375265
0.19,-2.9906612705820663
0.192,-3.022791084070149
0.194,-3.0480359373165937
0.196,-3.062379603852055
0.198,-3.0738545370376875
0.2,-3.0881982034662685
0.202,-3.103689363142371
0.204,-3.1048368564489524
0.206,-3.1008206298742524
0.208,-3.1145905495395185
0.21,-3.127786722500588
0.212,-3.1318029490439505
0.214,-3.125491735902284
0.216,-3.115164296191047
0.218,-3.0990993899122388
0.22,-3.096230656640313
0.222,-3.076723270328156
0.224,-3.0543471505995066
0.226,-3.0256598174028535
0.228,-3.0027099506748933
0.23,-2.9860712972023937
0.232,-2.9516464966619904
0.234,-2.9097629888795646
0.23600000000000002,-2.8759119342775814
0.23800000000000002,-2.8449296128295463
0.24000000000000002,-2.8087835707942364
0.24200000000000002,-2.770342541555034
0.24400000000000002,-2.7278852848926687
0.24600000000000002,-2.6716581063646583
0.24800000000000003,-2.6205946475397863
0.25,-2.570678681461659
0.252,-2.5219102081805342
0.254,-2.467404266666045
0.256,-2.410029590491088
0.258,-2.3469174456399857
0.26,-2.279789072176308
0.262,-2.219545659032692
0.264,-2.163318472529705
0.266,-2.0921738679552444
0.268,-2.017013034199141
0.27,-1.9487371609797348
0.272,-1.875871311694829
0.274,-1.8018579672515282
0.276,-1.7192384182250533
0.278,-1.6469463113268956
0.28,-1.565474252676086
0.28200000000000003,-1.4857234329943352
